# https://www.inforoutefpt.org/formation-technique/diplome-etudes-collegiales
LEA.DQ;KP55;Développer des programmes 
LEA.DQ;KP56;Exploiter les principes de la programmation orientée objet
LEA.DQ;KP57;Gérer des données structurées 
LEA.DQ;KP58;Gérer des données non structurées
LEA.DQ;KP59;Appliquer des algorithmes d’apprentissage machine pour l’apprentissage supervisé
LEA.DQ;KP60;Appliquer des algorithmes d’apprentissage machine pour l’apprentissage non supervisé
LEA.DQ;KP61;Appliquer des algorithmes d’apprentissage approfondi
LEA.DQ;KP62;Appliquer la littérature scientifique
LEA.DQ;KP63;Appliquer des techniques ou des méthodes créatives
NTL.OY;KNW1;Analyser les fonctions de travail
NTL.OY;KNY1;Réaliser un niveau de jeu
NTL.OY;KNY2;Analyser un projet de conception-scénarisation
